name, wiki_url
Afoxé,/wiki/Afox%C3%A9
Agogô,/wiki/Agog%C3%B4
Agung,/wiki/Agung
Angklung,/wiki/Angklung
Babendil,/wiki/Babendil
Bak,/wiki/Bak_(instrument)
Bamileke log drum,/wiki/Bamileke
Balafon,/wiki/Balafon
Batá drum,/wiki/Bat%C3%A1_drum
Cabasa,/wiki/Cabasa
Cajón,/wiki/Caj%C3%B3n
Carillon,/wiki/Carillon
Castanets,/wiki/Castanets
Caxirola,/wiki/Caxirola
Caxixi,/wiki/Caxixi
Chácaras,/wiki/Ch%C3%A1caras
Clapstick,/wiki/Clapstick
Claves,/wiki/Claves
Cowbell,/wiki/Cowbell_(instrument)
Crotales,/wiki/Crotales
Cymbal,/wiki/Cymbal
Ferrinho,/wiki/Ferrinho
Flexatone,/wiki/Flexatone
Octa-Vibraphone,
Gandingan,/wiki/Gandingan
Ghatam,/wiki/Ghatam
Glockenspiel,/wiki/Glockenspiel
Gong,/wiki/Gong
Güiro,/wiki/G%C3%BCiro
Handpan,/wiki/Handpan
Hang,/wiki/Hang_(instrument)
Kayamb,/wiki/Kayamb
Kemanak,/wiki/Kemanak
Khartal,/wiki/Khartal
Kouxian,/wiki/Kouxian
Kulintang,/wiki/Kulintang
Maraca,/wiki/Maraca
Marimba,/wiki/Marimba
Mbira,/wiki/Mbira
Pate,/wiki/Pate_(instrument)
Pate,/wiki/Pate_(instrument)
Qairaq,/wiki/Qairaq
Shekere,/wiki/Shekere
Slit drum,/wiki/Slit_drum
Spoon,/wiki/Spoon_(musical_instrument)
Steelpan,/wiki/Steelpan
Tambourine,/wiki/Tambourine
Teponaztli,/wiki/Teponaztli
Triangle,/wiki/Triangle_(musical_instrument)
Trash Tube,
Txalaparta,/wiki/Txalaparta
Vibraphone,/wiki/Vibraphone
Vibraslap,/wiki/Vibraslap
Washboard,/wiki/Washboard_(musical_instrument)
Wood block,/wiki/Woodblock_(instrument)
Wooden fish,/wiki/Wooden_fish
Xylophone,/wiki/Xylophone
Zill,/wiki/Zill
Sanding blocks,/wiki/Sanding_block
ekwe,/wiki/Ekwe
Agida,/wiki/Agida
Alfaia,/wiki/Alfaia
Apinti,/wiki/Apinti
Arobapá,/wiki/Arobap%C3%A1
Ashiko,/wiki/Ashiko
Atabaque,/wiki/Atabaque
Baboula,/wiki/Baboula
Balaban (drum),
Balsié,/wiki/Balsi%C3%A9
Bamboula,/wiki/Bamboula
Bara,/wiki/Bara_(drum)
Barrel drum,/wiki/Barrel_drum
Barrilesbuleadorprimorepicadorsubidor,
Bass drum,/wiki/Bass_drum
Bedug,/wiki/Bedug
Bodhrán,/wiki/Bodhr%C3%A1n
Bongo drums,/wiki/Bongo_drums
Boobam,/wiki/Boobam
Candombechicorepiquepiano,/wiki/Candombe_drums
Chenda (Chande)Uruttu chendaVeekku chendaAcchan chenda,/wiki/Chenda
Conga  (Tumbadora)ricardo  (smallest)requintoquintocongatumbasupertumba (largest),/wiki/Conga
Cuíca,/wiki/Cu%C3%ADca
Culoepuya,/wiki/Culoepuya
Dabakan,/wiki/Dabakan
Daf (Dap, Def),/wiki/Daf
Damaru,/wiki/Damaru
Davul (Dahol, Daul, Daouli, DhaulliDoholTapan, Topan, TupanTablToba, TowlaTof,/wiki/Davul
Dayereh,
Den-den daiko,/wiki/Den-den_daiko
Dhak,/wiki/Dhak_(instrument)
Dhimay (Dhimaya),/wiki/Dhimay
Dhol,/wiki/Dhol
Dholak (Dholaki),/wiki/Dholak
Dimdi,/w/index.php?title=Dimdi&action=edit&redlink=1
Djembe,/wiki/Djembe
Dollu,/wiki/Dollu
Drum,/wiki/Drum
Drum kit,/wiki/Drum_kit
Dunun  (Dundun),/wiki/Dunun
Gran Cassa,
Goblet drum,/wiki/Goblet_drum
Gong bass drum,/wiki/Gong_bass_drum
Hira-daiko,
Idakka,/wiki/Idakka
Ilimba drum,/wiki/Ilimba_drum
IngomashakweInyahuraIgihumurizo,
Janggu (Janggo, changgo),/wiki/Janggu
